OBJECTID,SEGMENTID,ARCID,PD,PT,SN,ST,SD,GEONAMEID,PRIMARYNAME,ALIAS1,ALIAS2,ALIAS3,ALIAS4,ALIAS5,SURFACETYPE,ONEWAY,RTNAME,RTNUMBER,HWYSIGN,RPCCLASS,AOTCLASS,NUTS,NHS,FUNCL,TWN_LR,ETE_LR,CTCODE,UA,CTUA,CERTCODE,ARCMILES,AOTMILES,AOTMILES_CALC,UPDACT,LOCMETH,SRCORG,SCENICHWY,SCENICBYWAY,FORMER_RTNAME,PROVISIONALYEAR,ANCIENTROADYEAR,TRUCKROUTE,SPEEDLIMIT,ROADCLOSED,ISVISIBLE,CERTYEAR,GlobalID,FIPS8,RTNUMBER_N,RDNAME,RDFLNAME,ISVISIBLE_UC,FUNCL_OLD,Urban_Code,FAID,FED_AID,Facility_Type,PENT,TOWNGEOID,StartNodeID,EndNodeID,Ownership,created_user,created_date,last_edited_user,last_edited_date,UPDATENOTES
9665,43613,106, , ,COW HILL,RD, ,23265,COW HILL RD,,,,,,Unknown,No,-,-,-,9,Private Road - No Show,N,0,0,-,-,0122,0,0122-0,0122-0,0.19470331,0,0,-,9,26,0,0,,0,0,0,,,1,0,{8D309081-781F-49E8-8406-0842D195EC86},50001110,0,23265,COW HILL RD,1,0,99999,500011100106,-,,N,5000183275,13538,13539,26,,,,,-
9841,30185,153,,,MERCHANTS,ROW,,12128,MERCHANTS ROW,,,,,,Paved,Yes - Direction of arc,TH-48,48,TH-48,3,Town Highway Class 3,N,0,5,S59160111,S5916,0111,1,0111-1,0111-0,0.03265068,0.03,0,-,1,26,0,0,,,0,0,,,1,,{44C07D51-82DF-4360-AE25-347D32B1E176},50001055,48,12128,MERCHANTS ROW,1,17,99998,500010550153,5916,2,N,5000144350,30902,30816,3,,,HMSADMIN,2019-10-08T21:18:45.000Z,-
9920,59662,852,,,EXCHANGE,ST,,12192,EXCHANGE ST,,,,,,Paved,No,TH-73,73,TH-73,3,Town Highway Class 3,N,0,7,L0111003073,-,0111,1,0111-1,0111-0,0.33960155,0.35,0,-,1,26,0,0,,,0,0,,,1,,{61532A70-89F7-4559-9762-31EB072D25A0},50001055,73,12192,EXCHANGE ST,1,19,99998,500010550852,-,2,N,5000144350,46630,53988,3,,,HMSADMIN,2019-02-27T22:56:00.000Z,-
10155,48589,202, , ,CHARLES,AVE, ,12147,CHARLES AVE,,,,,,Paved,No,TH-46,46,TH-46,3,Town Highway Class 3,N,0,5,S59020111,S5902,0111,1,0111-1,0111-0,0.01911025,0.03,0,-,1,26,0,0,,,0,0,,,1,,{F5C91628-63B4-432A-9DE7-33652A923B72},50001055,46,12147,CHARLES AVE,1,17,99998,500010550202,5902,2,N,5000144350,8440,37970,3,,,HMSADMIN,2018-04-17T17:36:39.000Z,-
10779,59799,600, , ,LANTERN,LN, ,12298,LANTERN LN,,,,,,Unknown,No,-,-,-,8,Private Road - No Show,N,0,0,-,-,0111,1,0111-1,0111-0,0.05830435,0,0,-,8,26,0,0,,0,0,0,,,1,0,{3A7D41D5-4FE2-4BC5-AE35-3D5387D6B1CA},50001055,0,12298,LANTERN LN,0,0,99998,500010550600,-,,N,5000144350,13300,13301,26,,,HMSADMIN,2018-04-18T16:42:10.000Z,-
11130,56083,104,,,WEYBRIDGE,ST,,12094,WEYBRIDGE ST,,,,,,Paved,No,TH-4,4,TH-4,2,Town Highway Class 2,N,0,4,S59400111,S5940,0111,1,0111-1,0111-0,0.06107294,0.06,0,-,1,26,0,0,,,0,0,,,1,,{789A1853-D57C-460D-AC0B-3823C1834B5C},50001055,4,12094,WEYBRIDGE ST,1,16,99998,500010550104,5940,2,N,5000144350,2871,3221,3,,,,,-
11184,55926,996,,,FOOTE,ST,,12217,FOOTE ST,,,,,,Paved,No,TH-7,7,TH-7,3,Town Highway Class 3,N,0,5,S59080111,S5908,0111,0,0111-0,0111-0,0.04850006,0.05,0,-,1,26,0,0,,,0,0,,,1,,{69C8066D-FCCA-4941-AD0C-A2ED44D424F6},50001055,7,12217,FOOTE ST,1,17,99998,500010550996,5908,2,N,5000144350,32738,63640,3,HMSADMIN,2018-04-17T18:51:16.000Z,HMSADMIN,2018-10-03T15:20:29.000Z,-
11355,11426,408,,,EAST,RD,,12174,EAST RD,,,,,,Paved,No,TH-119,119,TH-119,3,Town Highway Class 3,N,0,7,L0111003119,-,0111,1,0111-1,0111-0,0.102606,0.1,0.18,-,1,26,0,0,,,0,0,,,1,,{21BAA4C8-9488-49D4-A844-66B03D08CF29},50001055,119,12174,EAST RD,0,19,99998,500010550408,-,2,N,5000144350,4510,34707,3,,,,,-
11463,15254,106,,,HIGH,ST,,12159,HIGH ST,,,,,,Paved,No,TH-74,74,TH-74,3,Town Highway Class 3,N,0,5,S59100111,S5910,0111,1,0111-1,0111-0,0.1103523,0.12,0,-,1,26,0,0,,,0,0,,,1,,{309941D4-91D7-4901-B062-F829EDDA6E19},50001055,74,12159,HIGH ST,1,17,99998,500010550106,5910,2,N,5000144350,4432,16994,3,,,HMSADMIN,2018-04-17T19:10:34.000Z,-
11909,15146,136,,,SEYMOUR,ST,,12183,SEYMOUR ST,,,,,,Paved,No,TH-5,5,TH-5,2,Town Highway Class 2,N,0,4,S59260111,S5926,0111,1,0111-1,0111-0,0.02964381,0.03,0,-,1,26,0,0,,,0,0,,,1,,{124057BB-F6CD-459E-9263-B1C49AF05887},50001055,5,12183,SEYMOUR ST,1,16,99998,500010550136,5926,2,N,5000144350,30695,30696,3,,,HMSADMIN,2019-12-09T15:24:42.000Z,-
11910,7527,112,,,SEMINARY,ST,,12161,SEMINARY ST,,,,,,Paved,No,TH-7,7,TH-7,2,Town Highway Class 2,N,0,5,S59220111,S5922,0111,1,0111-1,0111-0,0.09159184,0.1,0,-,1,26,0,0,,,0,0,,,1,,{99F56D51-E3F3-4CFC-ADFB-7964863FA1A4},50001055,7,12161,SEMINARY ST,1,17,99998,500010550112,5922,2,N,5000144350,30788,4431,3,,,HMSADMIN,2019-10-30T12:39:10.000Z,-
12496,45034,563,,,MAPLE,ST,,12187,MAPLE ST,,,,,,Unknown,No,-,-,-,8,Private Road - No Show,N,0,0,-,-,0111,1,0111-1,0111-0,0.18988737,0,0,-,8,26,0,0,,0,0,0,,,1,0,{2372E815-3C08-4699-B26C-351343160FB0},50001055,0,12187,MAPLE ST,0,0,99998,500010550563,-,,N,5000144350,3091,3090,26,,,,,-
12502,59789,230,,,COURT,ST,,12154,COURT ST,,,,,,Paved,No,TH-1,1,US-7,1,Town Highway Class 1,N,7,3,U007-0111,U007,0111,1,0111-1,0111-0,0.02886,0.03,0,-,1,26,0,200,,,0,300,,,1,,{D664D627-1C83-48C4-BB44-6CF9FEE19073},50001055,1,12154,COURT ST,1,14,99998,500010550230,019-3,2,N,5000144350,30697,30698,3,,,HMSADMIN,2019-12-09T15:24:20.000Z,-
12761,41151,994,,,QUARRY,RD,,12213,QUARRY RD,,,,,,Paved,No,TH-7,7,TH-7,2,Town Highway Class 2,N,0,7,L0111002007a,-,0111,0,0111-0,0111-0,0.02624811,0.02,0,-,1,26,0,0,,,0,0,,,1,,{14CB22B4-F391-455E-B043-9278A1865E1F},50001055,7,12213,QUARRY RD,1,19,99998,500010550994,-,2,N,5000144350,63640,30947,3,,,HMSADMIN,2018-12-31T21:06:52.000Z,-
12854,47938,205,,,COLLEGE,ST,,12124,COLLEGE ST,,,,,,Paved,No,VT-125,125,VT-125,30,State Highway,N,0,4,V125-0111,V125,0111,1,0111-1,0111-0,0.11873,0.108,0,-,1,26,0,200,,,0,0,40,,1,,{915959B8-8F9E-40AF-AC9A-E100F68037F6},50001055,125,12124,COLLEGE ST,1,16,99998,500010550205,5900,2,N,5000144350,37698,37890,1,,,HMSADMIN,2019-12-11T16:22:01.000Z,-
13084,41179,161,,,MILL,ST,,12096,MILL ST,,,,,,Paved,Yes - Direction of arc,TH-68,68,TH-68,3,Town Highway Class 3,N,0,7,L0111003068,-,0111,1,0111-1,0111-0,0.17312651,0.18,0,-,1,26,0,0,,,0,0,,,1,,{5DF41AEE-9B6C-4BDB-B6EC-0F6415C99A03},50001055,68,12096,MILL ST,0,19,99998,500010550161,-,1,N,5000144350,37967,39533,3,,,HMSADMIN,2018-04-18T17:18:38.000Z,-
13137,47290,691,N,,PLEASANT,ST,,12181,N PLEASANT ST,,,,,,Paved,No,TH-1,1,US-7,1,Town Highway Class 1,N,7,3,U007-0111,U007,0111,1,0111-1,0111-0,0.02486,0.033,0,-,1,26,0,200,,,0,300,,,1,,{09A0728A-1A9B-4D72-AC2F-C844F6054A40},50001055,1,12181,N PLEASANT ST,1,14,99998,500010550691,019-3,2,N,5000144350,53981,30695,3,,,HMSADMIN,2019-12-09T15:24:43.000Z,-
13648,59750,818, , ,PARK,ST, ,12098,PARK ST,,,,,,Paved,Yes - Opposite direction of arc,TH-69,69,TH-69,3,Town Highway Class 3,N,0,7,L0111003069,-,0111,1,0111-1,0111-0,0.06162415,0.06,0,-,1,26,0,0,,,0,0,,,1,2011,{8173B09F-8CCD-4A56-A746-829C38D17821},50001055,69,12098,PARK ST,0,19,99998,500010550818,-,1,N,5000144350,37690,37967,3,,,,,-
13888,44991,608,,,OVERBROOK,DR,,12299,OVERBROOK DR,,,,,,Unknown,No,-,-,-,8,Private Road - No Show,N,0,0,-,-,0111,1,0111-1,0111-0,0.07966981,0,0,-,8,26,0,0,,0,0,0,,,1,0,{9567511F-42B4-4583-A3A4-6DA2AC4CA191},50001055,0,12299,OVERBROOK DR,0,0,99998,500010550608,-,,N,5000144350,5911,5911,26,,,,,-
14233,48582,243,,,CHIPMAN,PARK,,12122,CHIPMAN PARK,,,,,,Paved,No,TH-54,54,TH-54,3,Town Highway Class 3,N,0,7,L0111003054,-,0111,1,0111-1,0111-0,0.0809768,0.1,0,-,1,26,0,0,,,0,0,,,1,,{59146DE6-B619-47F7-B727-D48A2C3D8410},50001055,54,12122,CHIPMAN PARK,0,19,99998,500010550243,-,2,N,5000144350,3093,3092,3,,,,,-
14299,89608,842, , ,CROSS,ST, ,12150,CROSS ST,,,,,,Paved,Yes - Direction of arc,TH-5,5,VT-125,13,Town Highway Class 1 - East Bound,N,0,4,V125-0111,V125,0111,1,0111-1,0111-0,0.01015,0.01,0,-,5,26,0,0,,,0,0,,,1,2011,{54535DC6-EE8A-4341-9E8C-9061B37BABFB},50001055,5,12150,CROSS ST,1,16,99998,500010550842,5900,2,N,5000144350,37763,37764,3,,,HMSADMIN,2019-12-11T16:22:01.000Z,-
14339,21181,760, , ,HEPBURN,RD, ,12296,HEPBURN RD,,,,,,Unknown,No,-,-,-,8,Private Road - No Show,N,0,0,-,-,0111,1,0111-1,0111-0,0.08211265,0,0,-,8,26,0,0,,0,0,0,,,1,0,{A4C55666-8DE3-4342-9395-948560A12771},50001055,0,12296,HEPBURN RD,0,0,99998,500010550760,-,,N,5000144350,4436,4430,26,,,HMSADMIN,2019-02-07T22:36:11.000Z,-
14604,52428,827,,,MAIN,ST,,12126,MAIN ST,,,,,,Paved,No,TH-2,2,VT-30,1,Town Highway Class 1,N,0,4,V030-0111,V030,0111,1,0111-1,0111-0,0.04989621,0.049,0,-,1,26,0,200,,,0,0,,,1,2011,{FFAC5674-D16A-419B-A646-2D91B560A6D7},50001055,2,12126,MAIN ST,1,16,99998,500010550827,5900,2,N,5000144350,37924,53993,3,,,HMSADMIN,2018-04-27T17:47:03.000Z,-
14625,7494,235,,,CHARLES,AVE,,12147,CHARLES AVE,,,,,,Paved,No,TH-46,46,TH-46,3,Town Highway Class 3,N,0,5,S59020111,S5902,0111,1,0111-1,0111-0,0.34790634,0.37,0,-,1,26,0,0,,,0,0,,,1,,{581A4028-AB5F-4144-A61E-8201E8D5BF78},50001055,46,12147,CHARLES AVE,1,17,99998,500010550235,5902,2,N,5000144350,30698,8440,3,,,HMSADMIN,2019-12-09T15:24:20.000Z,-
15015,,154,,,,,,,,,,,,,Unknown,No,LT-1,1,LT-1,7,Legal Trail,N,0,0,-,-,0111,0,0111-0,0111-0,0.64746997,0.65,0,-,2,26,0,0,TH-12,,0,0,,,1,,{39E49838-A2A0-4948-9803-378869562D14},50001055,1,26786,LT 1,1,0,99998,500010550154,-,,N,5000144350,32253,32255,3,,,HMSADMIN,2018-02-28T18:01:01.000Z,-
15417,45054,219,,,HILLCREST,RD,,12117,HILLCREST RD,,,,,,Paved,No,TH-58,58,TH-58,3,Town Highway Class 3,N,0,7,L0111003058,-,0111,1,0111-1,0111-0,0.1494452,0.17,0,-,1,26,0,0,,,0,0,,,1,,{F2498CF4-5CD7-420B-9764-F06FC8F39CC1},50001055,58,12117,HILLCREST RD,1,19,99998,500010550219,-,2,N,5000144350,9049,9050,3,,,,,-
15426,18852,83,,,MUNGER,ST,,12204,MUNGER ST,,,,,,Gravel,No,TH-13,13,TH-13,3,Town Highway Class 3,N,0,7,L0111003013,-,0111,0,0111-0,0111-0,0.62007025,0.62,0,-,1,26,0,0,,,0,0,,,1,,{519904EF-FCAF-477A-B7C6-8D3202272D5D},50001055,13,12204,MUNGER ST,1,19,99999,500010550083,-,2,N,5000144350,3171,52945,3,,,HMSADMIN,2018-04-17T18:44:40.000Z,-
15427,48736,190,,,COLLEGE,ST,,12124,COLLEGE ST,,,,,,Paved,No,TH-3,3,VT-125,1,Town Highway Class 1,N,0,4,V125-0111,V125,0111,1,0111-1,0111-0,0.03455,0.034,0.29899999,-,1,26,0,200,,,0,0,,,1,,{FFD75D09-78D0-448D-BFC6-6DD0B7501140},50001055,3,12124,COLLEGE ST,1,16,99998,500010550190,5900,2,N,5000144350,4435,9049,3,,,HMSADMIN,2019-12-11T16:22:01.000Z,-
15557,18952,698,,,COLLEGE,ST,,12124,COLLEGE ST,,,,,,Paved,No,TH-3,3,VT-125,1,Town Highway Class 1,N,0,4,V125-0111,V125,0111,1,0111-1,0111-0,0.07952,0.084,0,-,1,26,0,200,,,0,0,,,1,,{A82C89CF-FDF0-417F-953E-D8721B92D0FD},50001055,3,12124,COLLEGE ST,1,16,99998,500010550698,5900,2,N,5000144350,37693,3088,3,,,HMSADMIN,2019-12-11T16:22:01.000Z,-
15837,15089,253, , ,ROGERS,RD, ,12140,ROGERS RD,,,,,,Paved,No,TH-15,15,TH-15,3,Town Highway Class 3,N,0,7,L0111003015,-,0111,1,0111-1,0111-0,0.01057977,0.02,0,-,1,26,0,0,,,0,0,,,1,,{D2EEE8C8-5668-47FC-8DFF-6680D66E3C7E},50001055,15,12140,ROGERS RD,0,19,99998,500010550253,-,2,N,5000144350,2817,2818,3,,,,,-
16274,41381,73, ,,PULP MILL BRIDGE,RD,,23232,PULP MILL BRIDGE RD,,,,,,Paved,No,TH-4,4,TH-4,2,Town Highway Class 2,N,0,7,L0122002004,-,0122,0,0122-0,0122-0,0.15252097,0.16,0,-,1,26,0,0,,,0,0,,,1,,{609D2E93-0936-499B-81C6-1E8271D9A76E},50001110,4,23232,PULP MILL BRIDGE RD,1,9,99998,500011100073,-,2,N,5000183275,8268,46529,3,,,,,-
16516,52294,1001,,,SEYMOUR,ST,,12183,SEYMOUR ST,,,,,,Paved,Yes - Direction of arc,TH-5,5,TH-5,2,Town Highway Class 2,N,0,5,S59260111SA001,S5926SA001,0111,1,0111-1,0111-0,0.03080853,0,0,-,1,26,0,0,,,0,0,,,1,,{5CC3326E-19BA-4AF2-BCAF-CC1ADDDE3A49},50001055,5,12183,SEYMOUR ST,1,17,99998,500010551001,5926,5,N,5000144350,63642,30942,3,HMSADMIN,2018-04-18T12:03:15.000Z,HMSADMIN,2019-12-10T14:22:32.000Z,-
16579,70853,785,,,COTTAGE,LN,,368870,COTTAGE LN,,,,,,Unknown,Yes - Opposite direction of arc,-,-,-,9,Private Road - No Show,N,0,0,-,-,0111,0,0111-0,0111-0,0.18868074,0,0,-,1,26,0,0,,0,0,0,,,1,0,{0100BF80-2AE4-48FA-82E2-1C5F39770B4C},50001055,0,368870,COTTAGE LN,1,0,99998,500010550785,-,,N,5000144350,34791,34790,26,,,HMSADMIN,2018-01-29T19:34:13.000Z,-
16675,62692,75, ,,PULP MILL BRIDGE,RD,,25010,PULP MILL BRIDGE RD,,,,ZERO,,Paved,No,TH-13,13,TH-13,2,Town Highway Class 2,N,0,7,L0111002013,-,0111,1,0111-1,0111-0,0.02672913,0.03,0,-,1,26,0,0,,,0,0,,,1,,{4CCA4B3E-97DA-4C74-8F07-BCD82B2EBC90},50001055,13,25010,PULP MILL BRIDGE RD,0,19,99998,500010550075,-,2,N,5000144350,8268,8269,3,,,,,-
16852,30290,117, , ,JAMES,RD, ,5758,JAMES RD,,,,,,Paved,No,TH-2,2,TH-2,2,Town Highway Class 2,N,0,7,L0104002002,-,0104,0,0104-0,0104-0,0.55985214,0.591,0,-,1,26,0,0,,,0,0,,,1,,{E118D4B4-EAD9-4E4A-920A-4B61F4C6BE44},50001020,2,5758,JAMES RD,1,9,99999,500010200117,-,2,N,5000116000,28195,37928,3,,,HMSADMIN,2016-12-01T13:10:11.000Z,-
17223,59931,819,,,MAIN,ST,,12126,MAIN ST,,,,,,Paved,Yes - Direction of arc,TH-2,2,VT-30,12,Town Highway Class 1 - South Bound,N,0,4,V030-0111S,V030-S,0111,1,0111-1,0111-0,0.01551385,0.016,0,-,5,26,0,200,,,0,0,,,1,2011,{B19B6075-8906-4BA2-84D7-38409CEC324E},50001055,2,12126,MAIN ST,1,16,99998,500010550819,5900,6,N,5000144350,37691,37719,3,,,HMSADMIN,2018-04-27T17:47:38.000Z,-
17264,73866,782, , ,LACROSSE,DR, ,368850,LACROSSE DR,,,,,,Paved,Yes - Direction of arc,TH-132,132,TH-132,3,Town Highway Class 3,N,0,7,L0111003132s,-,0111,0,0111-0,0111-0,0.03515008,0.03,0,-,1,26,0,0,,,0,0,,,1,2010,{A2E9B367-3323-44F1-B417-98F5A03185C5},50001055,132,368850,LACROSSE DR,1,19,99998,500010550782,-,1,N,5000144350,34790,34791,3,,,HMSADMIN,2018-01-29T19:32:41.000Z,-
17406,89613,848,,,MAIN,ST,,12126,MAIN ST,,,,,,Paved,Yes - Direction of arc,TH-2,2,VT-30,11,Town Highway Class 1 - North Bound,N,0,4,V030-0111,V030,0111,1,0111-1,0111-0,0.00604669,0.006,0,-,5,26,0,200,,,0,0,,,1,2011,{0F6CC4F1-B718-4553-9B22-148CA5B5E553},50001055,2,12126,MAIN ST,1,16,99998,500010550848,5900,2,N,5000144350,37718,37688,3,,,HMSADMIN,2019-05-24T18:27:30.000Z,-
17501,26493,141,,,FREEMAN,WAY,,12102,FREEMAN WAY,,,,,,Unknown,No,-,P,-,9,Private Road - No Show,N,0,0,-,-,0111,1,0111-1,0111-0,0.21962126,0,0,-,1,26,0,0,,0,0,0,,,1,0,{0E90A271-2917-44CE-B38B-EC98D733A31C},50001055,0,12102,FREEMAN WAY,0,0,99998,500010550141,-,,N,5000144350,2872,37906,26,,,,,-
17531,22545,228,,,CHIPMAN,PARK,,12122,CHIPMAN PARK,,,,,,Paved,No,TH-54,54,TH-54,3,Town Highway Class 3,N,0,7,L0111003054,-,0111,1,0111-1,0111-0,0.03109217,0.03,0,-,1,26,0,0,,,0,0,,,1,,{3AE6E09E-8106-4A2B-9394-AAC05AB13E25},50001055,54,12122,CHIPMAN PARK,0,19,99998,500010550228,-,2,N,5000144350,3546,3092,3,,,,,-
17702,30087,469,,,BUTTOLPH,DR,,12303,BUTTOLPH DR,,,,,,Paved,No,TH-97,97,TH-97,3,Town Highway Class 3,N,0,7,L0111003097,-,0111,1,0111-1,0111-0,0.09490584,0.09,0,-,8,26,0,0,,,0,0,,,1,,{5DD3FE7A-7650-4476-BDAD-6B71099E796F},50001055,97,12303,BUTTOLPH DR,0,19,99998,500010550469,-,2,N,5000144350,30794,16995,3,,,,,-
17937,7560,255, , ,ROGERS,RD, ,12140,ROGERS RD,,,,,,Paved,No,TH-15,15,TH-15,3,Town Highway Class 3,N,0,7,L0111003015,-,0111,1,0111-1,0111-0,0.06041323,0.06,0,-,1,26,0,0,,,0,0,,,1,,{303281EC-70BC-4E85-A485-0FC8537F9F2F},50001055,15,12140,ROGERS RD,0,19,99998,500010550255,-,2,N,5000144350,30820,2817,3,,,HMSADMIN,2019-10-29T19:45:57.000Z,-
18076,56061,828,,,COLLEGE,ST,,12124,COLLEGE ST,,,,,,Paved,No,TH-3,3,VT-125,1,Town Highway Class 1,N,0,4,V125-0111,V125,0111,1,0111-1,0111-0,0.15467,0.156,0,-,1,26,0,200,,,0,0,,,1,,{DDFF0196-3D59-43AA-A1AB-EDAB2918FFE3},50001055,3,12124,COLLEGE ST,1,16,99998,500010550828,5900,2,N,5000144350,37692,37693,3,,,HMSADMIN,2019-12-11T16:22:01.000Z,-
18581,37487,225,,,THOMAS,ST,,12131,THOMAS ST,,,,,,Paved,No,TH-44,44,TH-44,3,Town Highway Class 3,N,0,7,L0111003044,-,0111,1,0111-1,0111-0,0.08828051,0.1,0,-,1,26,0,0,,,0,0,,,1,,{C27B60F2-AD63-4617-B05E-BB2A86FD9840},50001055,44,12131,THOMAS ST,0,19,99998,500010550225,-,2,N,5000144350,30697,53996,3,,,HMSADMIN,2019-10-30T11:52:46.000Z,-
18745,22731,481,,,WOODLAND,PARK,,12144,WOODLAND PARK,,,,,,Paved,No,TH-90,90,TH-90,3,Town Highway Class 3,N,0,7,L0111003090,-,0111,1,0111-1,0111-0,0.12305115,0.12,0,-,8,26,0,0,,,0,0,,,1,,{9770158A-3DC3-40EB-8C53-8552F2949AF2},50001055,90,12144,WOODLAND PARK,0,19,99998,500010550481,-,2,N,5000144350,30691,30692,3,,,,,-
18758,23,183,,,COLLEGE,ST,,12124,COLLEGE ST,,,,,,Paved,No,TH-3,3,VT-125,1,Town Highway Class 1,N,0,4,V125-0111,V125,0111,1,0111-1,0111-0,0.03823,0.041,0,-,1,26,0,200,,,0,0,,,1,,{0B7A4659-BB1D-4FAF-A4F4-0AF750F5B728},50001055,3,12124,COLLEGE ST,1,16,99998,500010550183,5900,2,N,5000144350,3088,3163,3,,,HMSADMIN,2019-12-11T16:22:01.000Z,-
18887,33815,144,,,VALLEY,VW,,12145,VALLEY VW,,,,,1,Paved,No,TH-106,106,TH-106,3,Town Highway Class 3,N,0,7,L0111003106,-,0111,1,0111-1,0111-0,0.06043535,0.06,0,-,1,26,0,0,,,0,0,,,1,,{B1722A76-096F-461C-886A-83DC457AC712},50001055,106,12145,VALLEY VW,0,19,99998,500010550144,-,2,N,5000144350,34707,3592,3,,,,,-
19367,41151,959,,,QUARRY,RD,,12213,QUARRY RD,,,,,,Paved,No,TH-7,7,TH-7,2,Town Highway Class 2,N,0,7,L0111002007,-,0111,0,0111-0,0111-0,0.41836258,0.41,0.97,-,1,26,0,0,,,0,0,,,1,,{911AE90E-1668-4D7E-9DC5-E2BDE328E90E},50001055,7,12213,QUARRY RD,1,19,99999,500010550959,-,2,N,5000144350,30947,8491,3,,,HMSADMIN,2018-12-31T21:06:52.000Z,-
19551,41142,510,,,ORCHARD,LN,,12272,ORCHARD LN,,,,,,Unknown,No,-,-,-,8,Private Road - No Show,N,0,0,-,-,0111,0,0111-0,0111-0,0.04583193,0,0,-,8,26,0,0,,0,0,0,,,1,0,{9B8343AA-B641-4384-BB2F-57C7A2C6CD79},50001055,0,12272,ORCHARD LN,1,0,99999,500010550510,-,,N,5000144350,8491,8492,26,,,HMSADMIN,2018-04-27T17:40:26.000Z,-
19755,,825, , ,COLLEGE,ST, ,12124,COLLEGE ST,,,,,,Paved,Yes - Direction of arc,TH-3,3,VT-125,14,Town Highway Class 1 - West Bound,N,0,4,V125-0111W,V125-W,0111,1,0111-1,0111-0,0.09557401,0.097,0,-,1,26,0,200,,,0,0,,,1,,{F8A6B1F2-8764-407C-9044-17A7D26052A1},50001055,3,12124,COLLEGE ST,1,16,99998,500010550825,5900,6,N,5000144350,37720,37692,3,,,,,-
19946,18997,237,,,COURT,ST,,12154,COURT ST,,,,,,Paved,No,TH-1,1,US-7,1,Town Highway Class 1,N,7,3,U007-0111,U007,0111,1,0111-1,0111-0,0.03135,0.033,0,-,1,26,0,200,,,0,300,,,1,,{02609089-48A4-459B-B546-AE5DDD01FEC8},50001055,1,12154,COURT ST,1,14,99998,500010550237,019-3,2,N,5000144350,30698,30792,3,,,HMSADMIN,2019-12-09T15:24:20.000Z,-
20220,87132,788,S,,VILLAGE,GRN,,368860,S VILLAGE GRN,,,,,,Unknown,Yes - Direction of arc,-,-,-,9,Private Road - No Show,N,0,0,-,-,0111,0,0111-0,0111-0,0.01738811,0,0,-,1,26,0,0,,0,0,0,,,1,0,{B94D6042-BB0D-4D47-A9BF-5CAB3254097D},50001055,0,368860,S VILLAGE GRN,1,0,99998,500010550788,-,,N,5000144350,35995,35441,26,,,HMSADMIN,2018-04-27T17:42:37.000Z,-
20518,3884,102, , ,WASHINGTON ST,EXT, ,12198,WASHINGTON ST EXT,,,,,,Paved,No,TH-6,6,TH-6,2,Town Highway Class 2,N,0,5,S59360111,S5936,0111,1,0111-1,0111-0,0.24585394,0.26,0,-,1,26,0,0,,,0,0,,,1,,{705821DB-6F29-41E3-B8B1-7E74DAFB398B},50001055,6,12198,WASHINGTON ST EXT,1,17,99998,500010550102,5936,2,N,5000144350,3087,31165,3,,,HMSADMIN,2019-10-30T18:30:05.000Z,-
20657,54,667, , ,HERITAGE,CIR, ,12301,HERITAGE CIR,,,,,,Paved,No,TH-125,125,TH-125,3,Town Highway Class 3,N,0,7,L0111003125,-,0111,1,0111-1,0111-0,0.02912271,0.02,0,-,8,26,0,0,,,0,0,,,1,,{E571FC8C-3668-4FE1-AE73-CC7D1DF4C500},50001055,125,12301,HERITAGE CIR,0,19,99998,500010550667,-,2,N,5000144350,30692,30852,3,,,HMSADMIN,2018-04-27T17:46:27.000Z,-
20688,15179,107,,,SEMINARY,ST,,12161,SEMINARY ST,,,,,,Paved,No,TH-7,7,TH-7,2,Town Highway Class 2,N,0,5,S59220111,S5922,0111,1,0111-1,0111-0,0.06158818,0.07,0,-,1,26,0,0,,,0,0,,,1,,{A5B982D5-20E4-4686-BFC2-0CB3CB3A8E13},50001055,7,12161,SEMINARY ST,1,17,99998,500010550107,5922,2,N,5000144350,4431,4432,3,,,HMSADMIN,2018-04-17T19:10:27.000Z,-
21010,26497,188,,,FRANKLIN,ST,,12113,FRANKLIN ST,,,,,,Paved,No,TH-57,57,TH-57,3,Town Highway Class 3,N,0,7,L0111003057,-,0111,1,0111-1,0111-0,0.03796982,0.04,0,-,1,26,0,0,,,0,0,,,1,2011,{C01B14B1-2C1B-4623-83CE-B7CD7D81BF45},50001055,57,12113,FRANKLIN ST,0,19,99998,500010550188,-,2,N,5000144350,37969,37693,3,,,,,-
21198,252526,851, , ,ACADEMY,ST, ,419870,ACADEMY ST,,,,,,Paved,Yes - Opposite direction of arc,TH-4,4,VT-125,13,Town Highway Class 1 - East Bound,N,0,4,V125-0111,V125,0111,1,0111-1,0111-0,0.0496,0.049,0,-,5,26,0,0,,,0,0,,,1,2011,{25A8A6E3-B2C1-4D46-AC2F-0265C2DCDFF7},50001055,4,419870,ACADEMY ST,1,16,99998,500010550851,5900,2,N,5000144350,37872,37692,3,,,HMSADMIN,2019-12-11T16:22:01.000Z,-
21207,3762,145,,,COURT,ST,,12154,COURT ST,,,,,,Paved,Yes - Opposite direction of arc,TH-1,1,US-7,11,Town Highway Class 1 - North Bound,N,7,3,U007-0111,U007,0111,1,0111-1,0111-0,0.03339,0.031,0,-,1,26,0,200,,,0,300,,,1,,{7E492E98-3754-44E2-95D0-0A32F6B093BD},50001055,1,12154,COURT ST,1,14,99998,500010550145,019-3,2,N,5000144350,30790,30791,3,,,HMSADMIN,2019-10-30T13:45:49.000Z,-
