OBJECTID,SEGMENTID,ARCID,PD,PT,SN,ST,SD,GEONAMEID,PRIMARYNAME,ALIAS1,ALIAS2,ALIAS3,ALIAS4,ALIAS5,SURFACETYPE,ONEWAY,RTNAME,RTNUMBER,HWYSIGN,RPCCLASS,AOTCLASS,NUTS,NHS,FUNCL,TWN_LR,ETE_LR,CTCODE,UA,CTUA,CERTCODE,ARCMILES,AOTMILES,AOTMILES_CALC,UPDACT,LOCMETH,SRCORG,SCENICHWY,SCENICBYWAY,FORMER_RTNAME,PROVISIONALYEAR,ANCIENTROADYEAR,TRUCKROUTE,SPEEDLIMIT,ROADCLOSED,ISVISIBLE,CERTYEAR,GlobalID,FIPS8,RTNUMBER_N,RDNAME,RDFLNAME,ISVISIBLE_UC,FUNCL_OLD,Urban_Code,FAID,FED_AID,Facility_Type,PENT,TOWNGEOID,StartNodeID,EndNodeID,Ownership,created_user,created_date,last_edited_user,last_edited_date,UPDATENOTES
2267,41157,116,,,QUARRY,RD,,12213,QUARRY RD,,,,,,Paved,No,TH-7,7,TH-7,2,Town Highway Class 2,N,0,7,L0111002007,-,0111,0,0111-0,0111-0,0.58044759,0.579,0,-,1,26,0,0,,,0,0,,,1,,{B4008048-8051-4C2C-B5E2-2A6BBBB0017C},50001055,7,12213,QUARRY RD,1,19,99999,500010550116,-,2,N,5000144350,30898,52946,3,,,HMSADMIN,2018-04-17T18:43:00.000Z,-
2626,52320,87,,,SEYMOUR,ST,,12183,SEYMOUR ST,,,,,,Paved,No,TH-5,5,TH-5,2,Town Highway Class 2,N,0,5,S59260111,S5926,0111,1,0111-1,0111-0,0.05325446,0.047,0,-,1,26,0,0,,,0,0,,,1,,{7608268E-E415-4CB1-A6CD-A9679427B7F6},50001055,5,12183,SEYMOUR ST,1,17,99998,500010550087,5926,2,N,5000144350,30942,30952,3,,,HMSADMIN,2018-12-31T21:06:42.000Z,-
2968,48576,670, , ,QUARRY,RD, ,12213,QUARRY RD,,,,,,Paved,No,TH-7,7,TH-7,2,Town Highway Class 2,N,0,7,L0111002007,-,0111,0,0111-0,0111-0,0.40825048,0.41,0,-,1,26,0,0,,,0,0,,,1,,{2F400372-34FD-45AA-AC70-6676AC20ABF1},50001055,7,12213,QUARRY RD,1,9,99999,500010550670,-,2,N,5000144350,3172,2816,3,,,HMSADMIN,2018-04-27T17:21:28.000Z,-
3094,44276,984,,,COLLEGE,ST,,12124,COLLEGE ST,,,,,,Paved,No,VT-125,125,VT-125,30,State Highway,N,0,4,V125-0111,V125,0111,0,0111-0,0111-0,0.00178,0.002,0,-,1,26,0,200,,,0,0,40,,1,,{23B499B5-5694-4EB3-A140-2469A651F22B},50001055,125,12124,COLLEGE ST,1,16,99998,500010550984,5900,2,N,5000144350,37890,37888,1,,,HMSADMIN,2019-12-11T16:22:01.000Z,-
3401,58347,866,,,BUTTOLPH,DR,,12303,BUTTOLPH DR,,,,,,Paved,No,TH-97,97,TH-97,3,Town Highway Class 3,N,0,7,L0111003097,-,0111,1,0111-1,0111-0,0.27998247,0.34,0,-,8,26,0,0,,,0,0,,,1,,{35751DB6-A2AB-4A5E-9106-A8E277021C64},50001055,97,12303,BUTTOLPH DR,0,19,99998,500010550866,-,2,N,5000144350,30793,30794,3,,,,,-
3627,33699,101,,,SPRINGSIDE,RD,,12175,SPRINGSIDE RD,,,,,,Paved,No,TH-77,77,TH-77,3,Town Highway Class 3,N,0,7,L0111003077,-,0111,1,0111-1,0111-0,0.13687401,0.15,0,-,1,26,0,0,,,0,0,,,1,,{6731671F-D257-4046-9728-A8A9BEF9B35C},50001055,77,12175,SPRINGSIDE RD,0,19,99998,500010550101,-,2,N,5000144350,3086,30703,3,,,HMSADMIN,2018-04-18T13:09:31.000Z,-
3643,56056,96,N,,PLEASANT,ST,,12181,N PLEASANT ST,,,,,,Paved,No,TH-1,1,US-7,1,Town Highway Class 1,N,7,3,U007-0111,U007,0111,1,0111-1,0111-0,0.0046,0.005,0,-,1,26,0,200,,,0,0,,,1,,{0A430EC4-E2EF-4C48-8560-32C9683BEDCA},50001055,1,12181,N PLEASANT ST,1,14,99998,500010550096,019-3,2,N,5000144350,3389,3390,3,,,HMSADMIN,2019-10-30T13:45:49.000Z,-
3649,19005,824,S,,PLEASANT,ST,,12152,S PLEASANT ST,,,,,,Paved,No,TH-47,47,TH-47,3,Town Highway Class 3,N,0,5,S59320111,S5932,0111,1,0111-1,0111-0,0.13544171,0.14,0,-,1,26,0,0,,,0,0,,,1,2011,{4D5E6E6B-2D64-4737-A576-40EC39CEA15D},50001055,47,12152,S PLEASANT ST,1,17,99998,500010550824,5932,2,N,5000144350,30816,37885,3,,,HMSADMIN,2018-04-18T12:36:20.000Z,-
3738,30080,100,,,WEYBRIDGE,ST,,12094,WEYBRIDGE ST,,,,,,Paved,No,TH-4,4,TH-4,2,Town Highway Class 2,N,0,4,S59400111,S5940,0111,1,0111-1,0111-0,0.06653947,0.07,0.07,-,1,26,0,0,,,0,0,,,1,,{559A794C-F785-4787-8CB4-82000B2E308E},50001055,4,12094,WEYBRIDGE ST,1,16,99998,500010550100,5940,2,N,5000144350,3221,45193,3,,,,,-
4406,41355,94,,,MORNINGSIDE,DR,,12105,MORNINGSIDE DR,,,,,,Paved,No,TH-66,66,TH-66,3,Town Highway Class 3,N,0,7,L0111003066,-,0111,1,0111-1,0111-0,0.13416258,0.14,0,-,1,26,0,0,,,0,0,,,1,,{0FD44F37-472E-468B-B13F-5292756E9CE8},50001055,66,12105,MORNINGSIDE DR,0,19,99998,500010550094,-,2,N,5000144350,3547,3547,3,,,HMSADMIN,2018-10-04T18:43:11.000Z,-
